,asset,ret,bin
2020-01-07,ITUB4_SA,-0.11593392100916677,-1.0
2020-01-08,ITUB4_SA,-0.10129033333522497,-1.0
2020-01-09,ITUB4_SA,-0.08301223517431222,-1.0
2020-01-10,ITUB4_SA,-0.07479697980879718,-1.0
2020-01-13,ITUB4_SA,-0.18212240478311748,-1.0
2020-01-15,ITUB4_SA,-0.17196689261880382,-1.0
2020-01-16,ITUB4_SA,-0.17363739471502393,-1.0
2020-01-17,ITUB4_SA,-0.17931332221008334,-1.0
2020-01-20,ITUB4_SA,-0.1622909492395126,-1.0
2020-01-21,ITUB4_SA,-0.1440363073293469,-1.0
2020-01-22,ITUB4_SA,-0.14911612414008613,-1.0
2020-01-23,ITUB4_SA,-0.16884689343661619,-1.0
2020-01-24,ITUB4_SA,-0.16253543696099704,-1.0
2020-01-27,ITUB4_SA,-0.1440363073293469,-1.0
2020-01-29,ITUB4_SA,-0.18127116707063362,-1.0
2020-01-30,ITUB4_SA,-0.14275692255862893,-1.0
2020-01-31,ITUB4_SA,-0.12630160680626623,-1.0
2020-02-03,ITUB4_SA,-0.12882438594934065,-1.0
2020-02-04,ITUB4_SA,-0.13565549076398864,-1.0
2020-02-05,ITUB4_SA,-0.1408368374658202,-1.0
2020-02-06,ITUB4_SA,-0.13877180372847653,-1.0
2020-02-07,ITUB4_SA,-0.14975750494748363,-1.0
2020-02-10,ITUB4_SA,-0.16389505163181872,-1.0
2020-02-11,ITUB4_SA,-0.18272920793968683,-1.0
2020-02-12,ITUB4_SA,-0.17945358193988847,-1.0
2020-02-13,ITUB4_SA,-0.1665691012967212,-1.0
2020-02-14,ITUB4_SA,-0.15227207154548672,-1.0
2020-02-17,ITUB4_SA,-0.14442752171814444,-1.0
2020-02-18,ITUB4_SA,-0.14798807805570202,-1.0
2020-02-19,ITUB4_SA,-0.15997415624516842,-1.0
2020-02-20,ITUB4_SA,-0.15700950147061055,-1.0
2020-02-21,ITUB4_SA,-0.14892788514763244,-1.0
2020-02-26,ITUB4_SA,-0.1567705197746334,-1.0
2020-02-28,ITUB4_SA,-0.18180383064149408,-1.0
2020-03-02,ITUB4_SA,-0.17910903916724974,-1.0
2020-03-03,ITUB4_SA,-0.1638976719078472,-1.0
2020-03-04,ITUB4_SA,-0.1718355909313909,-1.0
2020-03-05,ITUB4_SA,-0.22673695428224927,-1.0
2020-03-06,ITUB4_SA,-0.2099097903137348,-1.0
2020-03-09,ITUB4_SA,-0.17805755950365576,-1.0
2020-03-10,ITUB4_SA,-0.17690394280618682,-1.0
2020-03-11,ITUB4_SA,-0.21589623771263944,-1.0
2020-03-12,ITUB4_SA,-0.08312258806328154,-1.0
2020-03-13,ITUB4_SA,-0.17480773101747216,-1.0
2020-03-16,ITUB4_SA,-0.05127965465721418,-1.0
2020-03-17,ITUB4_SA,-0.1405423270377969,-1.0
2020-03-18,ITUB4_SA,-0.0319966306209879,-1.0
2020-03-19,ITUB4_SA,-0.04952312137856918,-1.0
2020-03-20,ITUB4_SA,-0.019125236107596977,-1.0
2020-03-23,ITUB4_SA,0.11451861981162126,1.0
2020-03-24,ITUB4_SA,0.021780304770077974,1.0
2020-03-25,ITUB4_SA,0.016583803332641534,1.0
2020-03-26,ITUB4_SA,-0.04989076855212626,-1.0
2020-03-27,ITUB4_SA,0.03443994260442795,1.0
2020-03-30,ITUB4_SA,-0.031915515113229986,-1.0
2020-03-31,ITUB4_SA,-0.0008589259540053851,-1.0
2020-04-01,ITUB4_SA,0.10705585460989941,1.0
2020-04-03,ITUB4_SA,0.25624315069659787,1.0
2020-04-06,ITUB4_SA,0.2040111026938478,1.0
2020-04-07,ITUB4_SA,0.18677211125711213,1.0
2020-04-08,ITUB4_SA,0.17440747180101157,1.0
2020-04-09,ITUB4_SA,0.18452909323990951,1.0
2020-04-13,ITUB4_SA,0.1093686170009307,1.0
2020-04-14,ITUB4_SA,0.07383457344744371,1.0
2020-04-15,ITUB4_SA,0.08903299442567092,1.0
2020-04-16,ITUB4_SA,0.14924724097243547,1.0
2020-04-17,ITUB4_SA,0.1431847192179223,1.0
2020-04-20,ITUB4_SA,0.21846922676330416,1.0
2020-04-22,ITUB4_SA,0.2573457807696713,1.0
2020-04-23,ITUB4_SA,0.23608546835847766,1.0
2020-04-24,ITUB4_SA,0.36001809043340827,1.0
