,asset,ret,bin
2020-01-07,PETR4_SA,-0.022482729840135995,-1.0
2020-01-08,PETR4_SA,-0.0809836288288005,-1.0
2020-01-09,PETR4_SA,-0.07796051460645503,-1.0
2020-01-10,PETR4_SA,-0.07400077177646724,-1.0
2020-01-13,PETR4_SA,-0.0758325150417185,-1.0
2020-01-14,PETR4_SA,-0.06566651446835226,-1.0
2020-01-15,PETR4_SA,-0.11302863615314329,-1.0
2020-01-17,PETR4_SA,-0.12194312319376865,-1.0
2020-01-20,PETR4_SA,-0.1263332572341761,-1.0
2020-01-21,PETR4_SA,-0.1151248726231957,-1.0
2020-01-22,PETR4_SA,-0.10515566622534889,-1.0
2020-01-23,PETR4_SA,-0.11602034626674806,-1.0
2020-01-24,PETR4_SA,-0.10546074263603378,-1.0
2020-01-27,PETR4_SA,-0.09739575382654253,-1.0
2020-01-28,PETR4_SA,-0.12152773814280005,-1.0
2020-01-30,PETR4_SA,-0.1257776035964654,-1.0
2020-01-31,PETR4_SA,-0.1107206114680348,-1.0
2020-02-03,PETR4_SA,-0.10255501497624508,-1.0
2020-02-04,PETR4_SA,-0.11631160951136765,-1.0
2020-02-05,PETR4_SA,-0.1088409218837102,-1.0
2020-02-06,PETR4_SA,-0.13296781487063736,-1.0
2020-02-07,PETR4_SA,-0.12547533197925242,-1.0
2020-02-10,PETR4_SA,-0.1314795861867577,-1.0
2020-02-11,PETR4_SA,-0.11092265084010833,-1.0
2020-02-12,PETR4_SA,-0.130102894107755,-1.0
2020-02-13,PETR4_SA,-0.11810217733344774,-1.0
2020-02-14,PETR4_SA,-0.14004071641332394,-1.0
2020-02-18,PETR4_SA,-0.1189915368018587,-1.0
2020-02-19,PETR4_SA,-0.14206219853807434,-1.0
2020-02-20,PETR4_SA,-0.12399728332123361,-1.0
2020-02-21,PETR4_SA,-0.21654077595684285,-1.0
2020-02-26,PETR4_SA,-0.38763822867395525,-1.0
2020-02-27,PETR4_SA,-0.3656125414894541,-1.0
2020-03-02,PETR4_SA,-0.3950245536954653,-1.0
2020-03-03,PETR4_SA,-0.3838770953466101,-1.0
