Date,asset,ret,bin
2020-01-07,RENT3_SA,0.060246009826542046,1.0
2020-01-08,RENT3_SA,0.06548603080734772,1.0
2020-01-09,RENT3_SA,0.05981189061860093,1.0
2020-01-10,RENT3_SA,0.08129600053288466,1.0
2020-01-13,RENT3_SA,0.07791662492665674,1.0
2020-01-14,RENT3_SA,0.07344426054752295,1.0
2020-01-16,RENT3_SA,0.07629677203312624,1.0
2020-01-17,RENT3_SA,0.09618123069580187,1.0
2020-01-20,RENT3_SA,0.09375040682105817,1.0
2020-01-21,RENT3_SA,0.07520330273398512,1.0
2020-01-22,RENT3_SA,0.08870149666055749,1.0
2020-01-23,RENT3_SA,-0.12930043864365737,-1.0
2020-01-24,RENT3_SA,-0.12371140448893725,-1.0
2020-01-28,RENT3_SA,-0.14839298008568036,-1.0
2020-01-29,RENT3_SA,-0.16958522101311857,-1.0
2020-01-30,RENT3_SA,-0.16310600964608035,-1.0
2020-01-31,RENT3_SA,-0.15998524116192459,-1.0
2020-02-03,RENT3_SA,-0.1727872112348039,-1.0
2020-02-04,RENT3_SA,-0.12272759177662884,-1.0
2020-02-05,RENT3_SA,-0.13094389498615022,-1.0
2020-02-06,RENT3_SA,-0.16326126156777354,-1.0
2020-02-07,RENT3_SA,-0.2480636942498814,-1.0
2020-02-10,RENT3_SA,-0.23929678785472575,-1.0
2020-02-11,RENT3_SA,-0.16728269515659822,-1.0
2020-02-12,RENT3_SA,-0.1879957985707712,-1.0
2020-02-13,RENT3_SA,-0.18120663146911486,-1.0
2020-02-17,RENT3_SA,-0.18432013314393003,-1.0
2020-02-18,RENT3_SA,-0.18535253191224366,-1.0
2020-02-19,RENT3_SA,-0.18165291076700285,-1.0
2020-02-20,RENT3_SA,-0.17671788504545083,-1.0
2020-02-21,RENT3_SA,-0.17187490924176252,-1.0
2020-02-26,RENT3_SA,-0.21390487514798728,-1.0
2020-02-27,RENT3_SA,-0.33130685718771724,-1.0
2020-02-28,RENT3_SA,-0.21356478821264757,-1.0
2020-03-02,RENT3_SA,-0.2184553340330393,-1.0
2020-03-03,RENT3_SA,-0.2154650197518746,-1.0
2020-03-04,RENT3_SA,-0.2165356392736194,-1.0
2020-03-05,RENT3_SA,-0.3160619843758705,-1.0
2020-03-06,RENT3_SA,-0.2674804343030709,-1.0
