Date,asset,ret,bin
2020-01-07,SUZB3_SA,0.08759134173954775,1.0
2020-01-08,SUZB3_SA,-0.07230591569464906,-1.0
2020-01-09,SUZB3_SA,-0.11826212873922703,-1.0
2020-01-10,SUZB3_SA,-0.09858517922721699,-1.0
2020-01-13,SUZB3_SA,-0.1722594675993887,-1.0
2020-01-14,SUZB3_SA,-0.1638416963525332,-1.0
2020-01-15,SUZB3_SA,-0.16243879643958525,-1.0
2020-01-16,SUZB3_SA,-0.15033868873889533,-1.0
2020-01-17,SUZB3_SA,-0.19004111760453168,-1.0
2020-01-20,SUZB3_SA,-0.3075668876079872,-1.0
2020-01-21,SUZB3_SA,-0.30351276370615166,-1.0
2020-01-22,SUZB3_SA,-0.20936460390959488,-1.0
2020-01-23,SUZB3_SA,-0.20224970608233162,-1.0
2020-01-24,SUZB3_SA,-0.19170275893221345,-1.0
2020-01-27,SUZB3_SA,-0.2733935154958076,-1.0
2020-01-28,SUZB3_SA,-0.2859544338456669,-1.0
2020-01-29,SUZB3_SA,-0.27498772563792084,-1.0
2020-01-30,SUZB3_SA,-0.2658602861372763,-1.0
2020-01-31,SUZB3_SA,-0.2503148789716132,-1.0
2020-02-03,SUZB3_SA,-0.24708855615877,-1.0
2020-02-04,SUZB3_SA,-0.23527886980039847,-1.0
2020-02-05,SUZB3_SA,-0.22552072175714255,-1.0
2020-02-06,SUZB3_SA,-0.23547545596633335,-1.0
2020-02-07,SUZB3_SA,-0.209883009217825,-1.0
2020-02-10,SUZB3_SA,-0.19621623338471894,-1.0
2020-02-11,SUZB3_SA,-0.2273317486104165,-1.0
2020-02-12,SUZB3_SA,-0.2564999368720794,-1.0
2020-02-13,SUZB3_SA,-0.2799031330237435,-1.0
2020-02-14,SUZB3_SA,-0.25295162492319645,-1.0
2020-02-17,SUZB3_SA,-0.2564999368720794,-1.0
2020-02-18,SUZB3_SA,-0.2583539685197608,-1.0
2020-02-19,SUZB3_SA,-0.2596464353977874,-1.0
2020-02-21,SUZB3_SA,-0.2819892081561862,-1.0
2020-02-26,SUZB3_SA,-0.22953364996323955,-1.0
2020-02-27,SUZB3_SA,-0.25596647971595676,-1.0
2020-03-02,SUZB3_SA,-0.2499368932899967,-1.0
2020-03-03,SUZB3_SA,-0.2553830943028539,-1.0
2020-03-04,SUZB3_SA,-0.3169498688532847,-1.0
2020-03-05,SUZB3_SA,-0.30220549336589964,-1.0
2020-03-06,SUZB3_SA,-0.30052454037644716,-1.0
2020-03-09,SUZB3_SA,-0.35125154746887377,-1.0
2020-03-10,SUZB3_SA,-0.3664435279562318,-1.0
2020-03-11,SUZB3_SA,-0.3056964720537495,-1.0
2020-03-12,SUZB3_SA,0.5134496967350182,1.0
2020-03-13,SUZB3_SA,0.4993667923628844,1.0
2020-03-16,SUZB3_SA,0.46633776320752607,1.0
2020-03-17,SUZB3_SA,0.4464285686424019,1.0
2020-03-18,SUZB3_SA,0.4536960702514723,1.0
2020-03-19,SUZB3_SA,0.4599339561747524,1.0
2020-03-23,SUZB3_SA,0.5628470605760119,1.0
2020-03-25,SUZB3_SA,0.5335604717526887,1.0
2020-03-26,SUZB3_SA,0.4830661305010564,1.0
2020-03-27,SUZB3_SA,0.4770306247261247,1.0
2020-03-30,SUZB3_SA,0.48837875861693125,1.0
2020-03-31,SUZB3_SA,0.05783742915029677,1.0
2020-04-01,SUZB3_SA,0.028625009846552807,1.0
2020-04-02,SUZB3_SA,-0.03709279258505471,-1.0
2020-04-06,SUZB3_SA,-0.004247870497424255,-1.0
2020-04-07,SUZB3_SA,0.02984681189577776,1.0
2020-04-08,SUZB3_SA,0.005268466447908793,1.0
2020-04-09,SUZB3_SA,0.0782484813473805,1.0
2020-04-13,SUZB3_SA,0.048391713592012,1.0
2020-04-14,SUZB3_SA,-0.026052710603052698,-1.0
2020-04-15,SUZB3_SA,0.03384362679989428,1.0
2020-04-16,SUZB3_SA,0.053067922879274754,1.0
2020-04-17,SUZB3_SA,0.08537941595627818,1.0
2020-04-20,SUZB3_SA,0.4487400412200473,1.0
2020-04-22,SUZB3_SA,0.43680771434787635,1.0
2020-04-23,SUZB3_SA,0.06646598784312197,1.0
2020-04-24,SUZB3_SA,-0.027855939391320805,-1.0
2020-04-27,SUZB3_SA,-0.0374063300170685,-1.0
2020-04-28,SUZB3_SA,-0.0147477160894256,-1.0
2020-04-30,SUZB3_SA,-0.04262871771643839,-1.0
2020-05-04,SUZB3_SA,-0.09160491768318368,-1.0
2020-05-05,SUZB3_SA,-0.10721181216252074,-1.0
2020-05-06,SUZB3_SA,-0.12061156570871467,-1.0
2020-05-07,SUZB3_SA,-0.17196176341154557,-1.0
2020-05-08,SUZB3_SA,-0.22069709358274214,-1.0
2020-05-11,SUZB3_SA,-0.23970589558001743,-1.0
2020-05-12,SUZB3_SA,-0.2554066553293053,-1.0
2020-05-13,SUZB3_SA,-0.27910644032598786,-1.0
2020-05-14,SUZB3_SA,-0.22843909898253245,-1.0
2020-05-15,SUZB3_SA,-0.19920060197638945,-1.0
2020-05-18,SUZB3_SA,-0.10976197510851504,-1.0
2020-05-19,SUZB3_SA,-0.06968391789119166,-1.0
2020-05-20,SUZB3_SA,-0.03776403450817556,-1.0
2020-05-21,SUZB3_SA,0.03560297967219417,1.0
2020-05-22,SUZB3_SA,0.04221710282150393,1.0
2020-05-25,SUZB3_SA,0.07427056963162126,1.0
2020-05-26,SUZB3_SA,0.04276657228030256,1.0
2020-05-27,SUZB3_SA,0.060661437706294175,1.0
2020-05-29,SUZB3_SA,0.10063377507423699,1.0
2020-06-01,SUZB3_SA,0.09232756193517755,1.0
2020-06-03,SUZB3_SA,0.10726470270460409,1.0
2020-06-04,SUZB3_SA,0.053952359856636045,1.0
2020-06-05,SUZB3_SA,0.12506533109490925,1.0
2020-06-08,SUZB3_SA,0.10272559272448678,1.0
2020-06-12,SUZB3_SA,0.24777090514188616,1.0
2020-06-15,SUZB3_SA,0.2304492670174123,1.0
2020-06-16,SUZB3_SA,0.2309711812763091,1.0
2020-06-17,SUZB3_SA,0.21413888985909058,1.0
2020-06-18,SUZB3_SA,0.20531006002979124,1.0
2020-06-22,SUZB3_SA,0.3075146700388345,1.0
2020-06-23,SUZB3_SA,0.32728711216605455,1.0
2020-06-24,SUZB3_SA,0.3080310092680121,1.0
2020-06-25,SUZB3_SA,0.325892752661497,1.0
2020-06-26,SUZB3_SA,0.3328932326914509,1.0
2020-06-29,SUZB3_SA,0.33819229728467026,1.0
2020-06-30,SUZB3_SA,0.2873060425877747,1.0
2020-07-01,SUZB3_SA,0.2835222149880814,1.0
2020-07-02,SUZB3_SA,0.286257485072569,1.0
2020-07-03,SUZB3_SA,0.2790449172288634,1.0
2020-07-06,SUZB3_SA,0.283468854260148,1.0
2020-07-07,SUZB3_SA,0.2799116454969919,1.0
2020-07-09,SUZB3_SA,0.2700848527101418,1.0
2020-07-10,SUZB3_SA,0.2628133849384664,1.0
2020-07-13,SUZB3_SA,0.2556848259683362,1.0
2020-07-14,SUZB3_SA,0.26350231651461975,1.0
2020-07-15,SUZB3_SA,0.29961383266442,1.0
2020-07-16,SUZB3_SA,0.30364066313319316,1.0
2020-07-17,SUZB3_SA,0.26700123233918527,1.0
2020-07-20,SUZB3_SA,0.26689858633443597,1.0
2020-07-21,SUZB3_SA,0.25876528497012496,1.0
2020-07-22,SUZB3_SA,0.2782278106371445,1.0
2020-07-23,SUZB3_SA,0.25134988862138763,1.0
2020-07-24,SUZB3_SA,0.14728133269121146,1.0
2020-07-27,SUZB3_SA,0.25389968311880295,1.0
2020-07-28,SUZB3_SA,0.11023815420582883,1.0
2020-07-29,SUZB3_SA,0.2533139154227926,1.0
2020-07-30,SUZB3_SA,0.14021780655393967,1.0
2020-07-31,SUZB3_SA,0.23809512417185585,1.0
2020-08-03,SUZB3_SA,0.0923646867204384,1.0
2020-08-04,SUZB3_SA,0.23574133433691968,1.0
2020-08-05,SUZB3_SA,0.026943528184964816,1.0
2020-08-06,SUZB3_SA,0.00021598349546558815,1.0
2020-08-07,SUZB3_SA,0.0264184225403703,1.0
2020-08-10,SUZB3_SA,0.01224669918050636,1.0
2020-08-11,SUZB3_SA,0.031769681383799986,1.0
2020-08-12,SUZB3_SA,0.043192829943609734,1.0
2020-08-13,SUZB3_SA,0.026851232230276523,1.0
2020-08-14,SUZB3_SA,-0.03050104973741008,-1.0
2020-08-17,SUZB3_SA,-0.05472727370886621,-1.0
2020-08-18,SUZB3_SA,-0.069999827771834,-1.0
2020-08-19,SUZB3_SA,-0.0007901306239426198,-1.0
2020-08-20,SUZB3_SA,-0.04095688643181794,-1.0
2020-08-21,SUZB3_SA,-0.027996292583021498,-1.0
2020-08-25,SUZB3_SA,0.0097845522773099,1.0
2020-08-26,SUZB3_SA,-0.010625951647045606,-1.0
2020-08-27,SUZB3_SA,-0.008168101168601116,-1.0
2020-08-28,SUZB3_SA,-0.017454294714378316,-1.0
2020-08-31,SUZB3_SA,-0.03346626291163812,-1.0
2020-09-01,SUZB3_SA,-0.01858387007895823,-1.0
2020-09-02,SUZB3_SA,0.0212200416387216,1.0
2020-09-03,SUZB3_SA,0.09750004892049535,1.0
2020-09-04,SUZB3_SA,0.08603288757866268,1.0
2020-09-08,SUZB3_SA,0.0966225486918324,1.0
2020-09-09,SUZB3_SA,0.060573871708735405,1.0
2020-09-10,SUZB3_SA,0.050269715083487654,1.0
2020-09-11,SUZB3_SA,0.051973811089311095,1.0
2020-09-14,SUZB3_SA,0.048352060769458305,1.0
2020-09-15,SUZB3_SA,-0.0065451182993093715,-1.0
2020-09-16,SUZB3_SA,0.0916352066591033,1.0
2020-09-17,SUZB3_SA,0.08302722478905711,1.0
2020-09-18,SUZB3_SA,0.024975169029104016,1.0
2020-09-21,SUZB3_SA,0.04553887048261651,1.0
2020-09-22,SUZB3_SA,0.05995357191967132,1.0
2020-09-23,SUZB3_SA,0.08556711114558846,1.0
2020-09-24,SUZB3_SA,0.0891305062181047,1.0
2020-09-25,SUZB3_SA,0.04964679573339814,1.0
2020-09-28,SUZB3_SA,0.12184895004925811,1.0
2020-09-29,SUZB3_SA,0.17973245128679372,1.0
2020-09-30,SUZB3_SA,0.24039523099467908,1.0
2020-10-01,SUZB3_SA,0.23569901266109872,1.0
2020-10-02,SUZB3_SA,0.21951216752324765,1.0
2020-10-05,SUZB3_SA,0.21223617783615012,1.0
2020-10-06,SUZB3_SA,0.10137677382197796,1.0
2020-10-07,SUZB3_SA,0.09010132727124165,1.0
2020-10-08,SUZB3_SA,0.07225509817105413,1.0
2020-10-09,SUZB3_SA,0.07211439515844731,1.0
2020-10-14,SUZB3_SA,0.06702644418226722,1.0
2020-10-15,SUZB3_SA,0.06823811476816721,1.0
2020-10-16,SUZB3_SA,0.057521261105074606,1.0
2020-10-19,SUZB3_SA,0.08501286028815214,1.0
2020-10-20,SUZB3_SA,0.08423767184844966,1.0
2020-10-21,SUZB3_SA,0.1281486487643142,1.0
2020-10-22,SUZB3_SA,0.07015530020396654,1.0
2020-10-23,SUZB3_SA,0.1263424240860227,1.0
2020-10-26,SUZB3_SA,0.10529405899442823,1.0
2020-10-27,SUZB3_SA,0.140918141463664,1.0
2020-10-28,SUZB3_SA,0.17910135579613695,1.0
2020-10-29,SUZB3_SA,0.16683300059291573,1.0
2020-10-30,SUZB3_SA,0.17702310984572112,1.0
2020-11-03,SUZB3_SA,0.11313583838877062,1.0
2020-11-04,SUZB3_SA,0.11504931874545554,1.0
2020-11-05,SUZB3_SA,0.21812861323732258,1.0
2020-11-06,SUZB3_SA,0.252304628079276,1.0
2020-11-09,SUZB3_SA,0.20254733364402555,1.0
2020-11-10,SUZB3_SA,0.19783189020967273,1.0
2020-11-11,SUZB3_SA,0.192967969055587,1.0
2020-11-12,SUZB3_SA,0.20527060927225005,1.0
2020-11-13,SUZB3_SA,0.2087024044413186,1.0
2020-11-16,SUZB3_SA,0.19212675180599326,1.0
2020-11-17,SUZB3_SA,0.21812861323732258,1.0
2020-11-18,SUZB3_SA,0.2315726629748136,1.0
2020-11-19,SUZB3_SA,0.24457282309952655,1.0
2020-11-23,SUZB3_SA,0.23449233718707108,1.0
2020-11-24,SUZB3_SA,0.24730530578119492,1.0
2020-11-25,SUZB3_SA,0.23669111348351413,1.0
2020-11-26,SUZB3_SA,0.2211608866295931,1.0
2020-11-27,SUZB3_SA,0.11741392284613883,1.0
2020-11-30,SUZB3_SA,0.13681412351846478,1.0
2020-12-01,SUZB3_SA,0.09780719584879383,1.0
2020-12-02,SUZB3_SA,0.16984245573935253,1.0
2020-12-03,SUZB3_SA,0.25452096352417897,1.0
2020-12-04,SUZB3_SA,0.2481060631133576,1.0
2020-12-08,SUZB3_SA,0.2473972124248438,1.0
2020-12-09,SUZB3_SA,0.24256860745904674,1.0
2020-12-10,SUZB3_SA,0.2419387930594914,1.0
2020-12-11,SUZB3_SA,0.2681834536881944,1.0
2020-12-14,SUZB3_SA,0.26229189200159997,1.0
2020-12-15,SUZB3_SA,0.23177572474519792,1.0
2020-12-16,SUZB3_SA,0.2543682325901455,1.0
2020-12-17,SUZB3_SA,0.240902209332291,1.0
2020-12-18,SUZB3_SA,0.25217088632486395,1.0
2020-12-21,SUZB3_SA,0.2350596030419605,1.0
